time,target_value
1/1/15 2:00,22.202
1/1/15 3:00,22.127
1/1/15 4:00,22.155
1/1/15 5:00,22.61
1/1/15 14:00,24.915
1/1/15 15:00,24.675
1/1/15 16:00,25.588
1/1/15 17:00,29.37
1/1/15 18:00,28.655
1/1/15 19:00,27.605
1/1/15 20:00,27.455
1/1/15 21:00,25.438
1/1/15 22:00,24.32
1/1/15 23:00,22.86
1/2/15 0:00,21.97
1/2/15 1:00,21.32
1/2/15 2:00,20.938
1/2/15 3:00,20.92
1/2/15 4:00,21.245
1/2/15 5:00,21.945
1/2/15 6:00,22.623
1/2/15 7:00,23.668
1/2/15 8:00,24.69
1/2/15 9:00,26.545
1/2/15 10:00,27.533
1/2/15 11:00,26.585
1/2/15 12:00,25.168
1/2/15 13:00,24.893
1/2/15 14:00,24.558
1/2/15 15:00,24.593
1/2/15 16:00,25.285
1/2/15 17:00,28.41
1/2/15 18:00,27.205
1/2/15 19:00,28.127
1/2/15 20:00,26.905
1/2/15 21:00,25.478
1/2/15 22:00,24.35
1/2/15 23:00,22.803
1/3/15 0:00,22.998
1/3/15 1:00,22.825
1/3/15 2:00,22.535
1/3/15 3:00,22.398
1/3/15 4:00,22.695
1/3/15 5:00,23.438
1/3/15 6:00,24.238
1/3/15 7:00,25.478
1/3/15 8:00,28.14
1/3/15 9:00,28.773
1/3/15 10:00,26.333
1/3/15 11:00,23.798
1/3/15 12:00,22.86
1/3/15 13:00,21.28
1/3/15 14:00,20.273
1/3/15 15:00,19.49
1/3/15 16:00,19.123
1/3/15 17:00,21.38
1/3/15 18:00,23.048
1/3/15 19:00,22.795
1/3/15 20:00,22.435
1/3/15 21:00,22.123
1/3/15 22:00,21.822
1/3/15 23:00,20.863
1/4/15 0:00,20.358
1/4/15 1:00,19.798
1/4/15 2:00,19.583
1/4/15 3:00,19.763
1/4/15 4:00,19.89
1/4/15 5:00,20.835
1/4/15 6:00,21.385
1/4/15 7:00,21.995
1/4/15 8:00,22.163
1/4/15 9:00,22.498
1/4/15 10:00,22.8
1/4/15 11:00,22.915
1/4/15 12:00,22.25
1/4/15 13:00,21.745
1/4/15 14:00,21.24
1/4/15 15:00,20.877
1/4/15 16:00,20.875
1/4/15 17:00,22.283
1/4/15 18:00,23.478
1/4/15 19:00,23.873
1/4/15 20:00,23.688
1/4/15 21:00,22.748
1/4/15 22:00,21.665
1/4/15 23:00,20.862
1/5/15 0:00,20.603
1/5/15 1:00,20.217
1/5/15 2:00,20.133
1/5/15 3:00,20.395
1/5/15 4:00,20.755
1/5/15 5:00,22.342
1/5/15 6:00,25.662
1/5/15 7:00,26.105
1/5/15 8:00,24.948
1/5/15 9:00,25
1/5/15 10:00,23.26
1/5/15 11:00,22.125
1/5/15 12:00,21.578
1/5/15 13:00,20.275
1/5/15 14:00,18.788
1/5/15 15:00,17.9
1/5/15 16:00,18.285
1/5/15 17:00,19.25
1/5/15 18:00,20.95
1/5/15 19:00,21.775
1/5/15 20:00,21.718
1/5/15 21:00,21.303
1/5/15 22:00,20.678
1/5/15 23:00,19.315
1/6/15 0:00,20.058
1/6/15 1:00,20.223
1/6/15 2:00,20.488
1/6/15 3:00,20.998
1/6/15 4:00,21.745
1/6/15 5:00,22.985
1/6/15 6:00,26.545
1/6/15 7:00,26.2
1/6/15 8:00,24.67
1/6/15 9:00,24.055
1/6/15 10:00,23.4
1/6/15 11:00,22.843
1/6/15 12:00,21.805
1/6/15 13:00,21.443
1/6/15 14:00,21.033
1/6/15 15:00,20.93
1/6/15 16:00,21.233
1/6/15 17:00,22.513
1/6/15 18:00,23.88
1/6/15 19:00,23.843
1/6/15 20:00,23.645
1/6/15 21:00,23.007
1/6/15 22:00,22.385
1/6/15 23:00,21.252
1/7/15 0:00,19.693
1/7/15 1:00,19.633
1/7/15 2:00,19.76
1/7/15 3:00,19.45
1/7/15 4:00,19.38
1/7/15 5:00,20.215
1/7/15 6:00,21.038
1/7/15 7:00,20.433
1/7/15 8:00,19.305
1/7/15 9:00,18.93
1/7/15 10:00,19.18
